name,location,county,specialties,contact,rating
Kenyatta National Hospital,Nairobi,Nairobi,General Medicine;Cardiology;Neurology;Oncology;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology;Nephrology;Dermatology;Infectious Disease;Hepatology;Pulmonology,+254-20-2726300,4.5
Nairobi Hospital,Nairobi,Nairobi,General Medicine;Cardiology;Neurology;Oncology;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology;Nephrology;Dermatology;Infectious Disease,+254-20-2845000,4.7
Aga Khan University Hospital,Nairobi,Nairobi,General Medicine;Cardiology;Neurology;Oncology;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology;Nephrology;Dermatology;Infectious Disease;Hepatology,+254-20-3662000,4.8
Mater Misericordiae Hospital,Nairobi,Nairobi,General Medicine;Cardiology;Orthopedics;Pediatrics;ENT;Gastroenterology;Infectious Disease,+254-20-6903000,4.2
Gertrude's Children's Hospital,Nairobi,Nairobi,Pediatrics;Pediatric Surgery;Pediatric Cardiology;Pediatric Neurology;Pediatric Orthopedics,+254-20-7206000,4.6
MP Shah Hospital,Nairobi,Nairobi,General Medicine;Cardiology;Neurology;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology;Nephrology;Dermatology,+254-20-3746979,4.3
Karen Hospital,Nairobi,Nairobi,General Medicine;Cardiology;Neurology;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology;Nephrology;Dermatology,+254-20-3883000,4.4
Nairobi Women's Hospital,Nairobi,Nairobi,Obstetrics;Gynecology;General Medicine;Pediatrics,+254-20-2726821,4.0
Coptic Hospital,Nairobi,Nairobi,General Medicine;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology,+254-20-2627702,3.9
Nairobi West Hospital,Nairobi,Nairobi,General Medicine;Cardiology;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology,+254-20-2118505,4.1
Coast General Hospital,Mombasa,Mombasa,General Medicine;Cardiology;Neurology;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology;Nephrology;Dermatology;Infectious Disease,+254-41-2314204,4.0
Aga Khan Hospital Mombasa,Mombasa,Mombasa,General Medicine;Cardiology;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology;Nephrology;Dermatology,+254-41-2227710,4.5
Pandya Memorial Hospital,Mombasa,Mombasa,General Medicine;Cardiology;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology,+254-41-2222148,3.8
Mombasa Hospital,Mombasa,Mombasa,General Medicine;Cardiology;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology;Nephrology;Dermatology,+254-41-2312953,4.2
Premier Hospital Mombasa,Mombasa,Mombasa,General Medicine;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology,+254-41-2222726,3.9
Jaramogi Oginga Odinga Teaching and Referral Hospital,Kisumu,Kisumu,General Medicine;Cardiology;Neurology;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology;Nephrology;Dermatology;Infectious Disease,+254-57-2023000,4.1
Aga Khan Hospital Kisumu,Kisumu,Kisumu,General Medicine;Cardiology;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology,+254-57-2020605,4.3
Avenue Hospital Kisumu,Kisumu,Kisumu,General Medicine;Orthopedics;Pediatrics;ENT;Urology;Gastroenterology,+254-57-2024350,3.9
Moi Teaching and Referral Hospital,Eldoret,Uasin Gishu,General Medicine;Cardiology;Neurology;Oncology
