disease,name,dosage,instructions,frequency,side_effects
Jaundice,Ursodeoxycholic acid,10-15 mg/kg daily,Take with food to reduce stomach upset,Divided into 2-3 doses per day,"Diarrhea, stomach pain, dizziness"
Jaundice,Cholestyramine,4g,Mix with water or juice and drink before meals,2-4 times daily,"Constipation, nausea, bloating"
Malaria,Artemether-Lumefantrine,Adult: 4 tablets per dose,Take with fatty food to increase absorption,Twice daily for 3 days,"Headache, dizziness, loss of appetite, muscle and joint pain"
Malaria,Atovaquone-Proguanil,Adult: 1 tablet (250/100 mg),Take with food or milk at the same time each day,Once daily for 3 days,"Stomach pain, nausea, vomiting, headache"
Malaria,Quinine Sulfate,Adult: 648mg,Take with food to minimize stomach upset,Three times daily for 7 days,"Ringing in ears, headache, nausea, vision problems, dizziness"
Typhoid,Ciprofloxacin,500mg,Complete the entire course of antibiotics,Twice daily for 7-14 days,"Nausea, diarrhea, abdominal pain, headache"
Typhoid,Azithromycin,500mg first day then 250mg,Take with or without food but at the same time each day,Once daily for 5-7 days,"Diarrhea, nausea, abdominal pain"
Typhoid,Ceftriaxone,1-2g,Administered by healthcare provider via injection,Once daily for 10-14 days,"Pain at injection site, rash, fever"
Chicken pox,Acyclovir,800mg,Start within 24 hours of rash appearance,5 times daily for 7 days,"Nausea, vomiting, diarrhea, headache"
Chicken pox,Calamine Lotion,Apply to affected areas,Apply to skin and allow to dry,Several times daily as needed,"Skin irritation, dryness"
Chicken pox,Diphenhydramine (Benadryl),25-50mg (adults),Take as needed for itching,Every 4-6 hours as needed,"Drowsiness, dry mouth, dizziness"
Impetigo,Mupirocin Ointment,Apply small amount to affected area,Clean area before application,3 times daily for 5-7 days,"Burning, stinging, itching, rash"
Impetigo,Dicloxacillin,250-500mg,Take with a full glass of water,4 times daily for 7-10 days,"Nausea, vomiting, diarrhea"
Impetigo,Cephalexin,250-500mg,Take as directed even if symptoms improve,4 times daily for 7-10 days,"Diarrhea, stomach upset, headache"
Dengue,Paracetamol (Acetaminophen),500-1000mg,Do not exceed recommended dosage,Every 4-6 hours as needed,"Nausea, rash, liver damage with overdose"
Dengue,Oral Rehydration Solution,As directed on package,Mix with clean water,Drink frequently to prevent dehydration,"Rarely causes side effects when used as directed"
Fungal infection,Fluconazole,150mg,Take with or without food,Once weekly for 2-4 weeks,"Headache, nausea, stomach pain, diarrhea"
Fungal infection,Clotrimazole Cream 1%,Apply thin layer to affected area,Clean and dry area before application,2-3 times daily for 2-4 weeks,"Burning, stinging, redness, irritation"
Fungal infection,Terbinafine,250mg,Take with or without food at the same time each day,Once daily for 1-2 weeks,"Headache, diarrhea, rash, taste disturbances"
Common Cold,Paracetamol (Acetaminophen),500-1000mg,Take with or without food,Every 4-6 hours as needed,"Rarely causes side effects at recommended doses"
Common Cold,Pseudoephedrine,60mg,Do not take close to bedtime,Every 4-6 hours as needed,"Insomnia, nervousness, dizziness, increased blood pressure"
Common Cold,Dextromethorphan,15-30mg,Take with food or milk if stomach upset occurs,Every 6-8 hours as needed,"Dizziness, drowsiness, nausea"
Pneumonia,Amoxicillin,500mg,Take with or without food,3 times daily for 7-14 days,"Diarrhea, stomach upset, rash"
Pneumonia,Azithromycin,500mg first day then 250mg,Take at the same time each day,Once daily for 5 days,"Diarrhea, nausea, abdominal pain"
Pneumonia,Levofloxacin,750mg,Take with plenty of water,Once daily for 5-14 days,"Tendon problems, nausea, diarrhea, headache"
Dimorphic Hemorrhoids,Hydrocortisone cream 1%,Apply small amount to affected area,Clean area before application,Up to 4 times daily for 7 days,"Burning, itching, irritation, thinning of skin"
